,Open Time,Open,High,Low,Close,Volume
0,2021-08-01,41461.84000000,42599.00000000,39422.01000000,39845.44000000,53953.18632600
1,2021-08-02,39850.27000000,40480.01000000,38690.00000000,39147.82000000,50837.35195400
2,2021-08-03,39146.86000000,39780.00000000,37642.03000000,38207.05000000,57117.43585300
3,2021-08-04,38207.04000000,39969.66000000,37508.56000000,39723.18000000,52329.35243000
4,2021-08-05,39723.17000000,41350.00000000,37332.70000000,40862.46000000,84343.75562100
5,2021-08-06,40862.46000000,43392.43000000,39853.86000000,42836.87000000,75753.94134700
6,2021-08-07,42836.87000000,44700.00000000,42446.41000000,44572.54000000,73396.74080800
7,2021-08-08,44572.54000000,45310.00000000,43261.00000000,43794.37000000,69329.09269800
8,2021-08-09,43794.36000000,46454.15000000,42779.00000000,46253.40000000,74587.88484500
9,2021-08-10,46248.87000000,46700.00000000,44589.46000000,45584.99000000,53814.64342100
10,2021-08-11,45585.00000000,46743.47000000,45341.14000000,45511.00000000,52734.90197700
11,2021-08-12,45510.67000000,46218.12000000,43770.00000000,44399.00000000,55266.10878100
12,2021-08-13,44400.06000000,47886.00000000,44217.39000000,47800.00000000,48239.37043100
13,2021-08-14,47799.99000000,48144.00000000,45971.03000000,47068.51000000,46114.35902200
14,2021-08-15,47068.50000000,47372.27000000,45500.00000000,46973.82000000,42110.71133400
15,2021-08-16,46973.82000000,48053.83000000,45660.00000000,45901.29000000,52480.57401400
16,2021-08-17,45901.30000000,47160.00000000,44376.00000000,44695.95000000,57039.34162900
17,2021-08-18,44695.95000000,46000.00000000,44203.28000000,44705.29000000,54099.41598500
18,2021-08-19,44699.37000000,47033.00000000,43927.70000000,46760.62000000,53411.75392000
19,2021-08-20,46760.62000000,49382.99000000,46622.99000000,49322.47000000,56850.35222800
20,2021-08-21,49322.47000000,49757.04000000,48222.00000000,48821.87000000,46745.13658400
21,2021-08-22,48821.88000000,49500.00000000,48050.00000000,49239.22000000,37007.88779500
22,2021-08-23,49239.22000000,50500.00000000,49029.00000000,49488.85000000,52462.54195400
23,2021-08-24,49488.85000000,49860.00000000,47600.00000000,47674.01000000,51014.59474800
24,2021-08-25,47674.01000000,49264.30000000,47126.28000000,48973.32000000,44655.83034200
25,2021-08-26,48973.32000000,49352.84000000,46250.00000000,46843.87000000,49371.27777400
26,2021-08-27,46843.86000000,49149.93000000,46348.00000000,49069.90000000,42068.10496500
27,2021-08-28,49069.90000000,49299.00000000,48346.88000000,48895.35000000,26681.06378600
28,2021-08-29,48895.35000000,49632.27000000,47762.54000000,48767.83000000,32652.28347300
29,2021-08-30,48767.84000000,48888.61000000,46853.00000000,46982.91000000,40288.35083000
30,2021-08-31,46982.91000000,48246.11000000,46700.00000000,47100.89000000,48645.52737000
31,2021-09-01,47100.89000000,49156.00000000,46512.00000000,48810.52000000,49904.65528000
32,2021-09-02,48810.51000000,50450.13000000,48584.06000000,49246.64000000,54410.77053800
33,2021-09-03,49246.63000000,51000.00000000,48316.84000000,49999.14000000,59025.64415700
34,2021-09-04,49998.00000000,50535.69000000,49370.00000000,49915.64000000,34664.65959000
35,2021-09-05,49917.54000000,51900.00000000,49450.00000000,51756.88000000,40544.83587300
36,2021-09-06,51756.88000000,52780.00000000,50969.33000000,52663.90000000,49249.66708100
37,2021-09-07,52666.20000000,52920.00000000,42843.05000000,46863.73000000,123048.80271900
38,2021-09-08,46868.57000000,47340.99000000,44412.02000000,46048.31000000,65069.31520000
39,2021-09-09,46048.31000000,47399.97000000,45513.08000000,46395.14000000,50651.66002000
40,2021-09-10,46395.14000000,47033.00000000,44132.29000000,44850.91000000,49048.26618000
41,2021-09-11,44842.20000000,45987.93000000,44722.22000000,45173.69000000,30440.40810000
42,2021-09-12,45173.68000000,46460.00000000,44742.06000000,46025.24000000,32094.28052000
43,2021-09-13,46025.23000000,46880.00000000,43370.00000000,44940.73000000,65429.15056000
44,2021-09-14,44940.72000000,47250.00000000,44594.44000000,47111.52000000,44855.85099000
45,2021-09-15,47103.28000000,48500.00000000,46682.32000000,48121.41000000,43204.71174000
46,2021-09-16,48121.40000000,48557.00000000,47021.10000000,47737.82000000,40725.08895000
47,2021-09-17,47737.81000000,48150.00000000,46699.56000000,47299.98000000,34461.92776000
48,2021-09-18,47299.98000000,48843.20000000,47035.56000000,48292.74000000,30906.47038000
49,2021-09-19,48292.75000000,48372.83000000,46829.18000000,47241.75000000,29847.24349000
50,2021-09-20,47241.75000000,47347.25000000,42500.00000000,43015.62000000,78003.52444300
51,2021-09-21,43016.64000000,43639.00000000,39600.00000000,40734.38000000,84534.08048500
52,2021-09-22,40734.09000000,44000.55000000,40565.39000000,43543.61000000,58349.05542000
53,2021-09-23,43546.37000000,44978.00000000,43069.09000000,44865.26000000,48699.57655000
54,2021-09-24,44865.26000000,45200.00000000,40675.00000000,42810.57000000,84113.42629200
55,2021-09-25,42810.58000000,42966.84000000,41646.28000000,42670.64000000,33594.57189000
56,2021-09-26,42670.63000000,43950.00000000,40750.00000000,43160.90000000,49879.99765000
57,2021-09-27,43160.90000000,44350.00000000,42098.00000000,42147.35000000,39776.84383000
58,2021-09-28,42147.35000000,42787.38000000,40888.00000000,41026.54000000,43372.26240000
59,2021-09-29,41025.01000000,42590.00000000,40753.88000000,41524.28000000,33511.53487000
60,2021-09-30,41524.29000000,44141.37000000,41410.17000000,43824.10000000,46381.22781000
61,2021-10-01,43820.01000000,48495.00000000,43283.03000000,48141.61000000,66244.87492000
62,2021-10-02,48141.60000000,48336.59000000,47430.18000000,47634.90000000,30508.98131000
63,2021-10-03,47634.89000000,49228.08000000,47088.00000000,48200.01000000,30825.05601000
64,2021-10-04,48200.01000000,49536.12000000,46891.00000000,49224.94000000,46796.49372000
65,2021-10-05,49224.93000000,51886.30000000,49022.40000000,51471.99000000,52125.66793000
66,2021-10-06,51471.99000000,55750.00000000,50382.41000000,55315.00000000,79877.54518100
67,2021-10-07,55315.00000000,55332.31000000,53357.00000000,53785.22000000,54917.37766000
68,2021-10-08,53785.22000000,56100.00000000,53617.61000000,53951.43000000,46160.25785000
69,2021-10-09,53955.67000000,55489.00000000,53661.67000000,54949.72000000,55177.08013000
70,2021-10-10,54949.72000000,56561.31000000,54080.00000000,54659.00000000,89237.83612800
71,2021-10-11,54659.01000000,57839.04000000,54415.06000000,57471.35000000,52933.16575100
72,2021-10-12,57471.35000000,57680.00000000,55022.84000000,55086.36000000,42419.14445000
