,Open Time,High,High,High,High
0,2021-10-30,4434.06000000,4511.70000000,4808.96000000,4628.70000000
1,2021-10-31,4399.14000000,4515.00000000,4803.67000000,4608.95000000
2,2021-11-01,4386.58000000,4495.67000000,4799.00000000,4604.99000000
3,2021-11-02,4599.60000000,4409.98000000,4815.00000000,4628.00000000
4,2021-11-03,4665.87000000,4494.55000000,4814.00000000,4632.31000000
5,2021-11-04,4606.65000000,4530.00000000,4825.54000000,4620.31000000
6,2021-11-05,4570.05000000,4571.83000000,4838.28000000,4606.50000000
7,2021-11-06,4530.00000000,4569.62000000,4819.11000000,4621.28000000
8,2021-11-07,4637.98000000,4616.44000000,4810.17000000,4615.75000000
9,2021-11-08,4822.97000000,4626.02000000,4822.97000000,4599.41000000
10,2021-11-09,4838.28000000,4619.03000000,4816.42000000,4594.96000000
11,2021-11-10,4868.00000000,4637.98000000,4801.94000000,4615.91000000
12,2021-11-11,4779.00000000,4737.26000000,4789.07000000,4615.01000000
13,2021-11-12,4809.71000000,4764.64000000,4813.99000000,4642.28000000
14,,,4740.83000000,4833.29000000,4651.56000000
15,,,4777.22000000,4827.88000000,4639.91000000
16,,,4793.98000000,4798.03000000,4640.96000000
17,,,4822.97000000,4785.00000000,4636.38000000
18,,,4815.00000000,4792.82000000,4636.61000000
19,,,4838.28000000,4753.59000000,4640.63000000
20,,,4822.97000000,4776.84000000,4650.71000000
21,,,4833.29000000,4801.67000000,4658.00000000
22,,,4798.03000000,4799.01000000,4662.18000000
23,,,4801.67000000,4767.17000000,4656.89000000
24,,,4758.60000000,4758.60000000,4663.01000000
25,,,4743.92000000,4744.19000000,4658.34000000
26,,,4755.00000000,4756.00000000,4676.92000000
27,,,4868.00000000,4738.00000000,4674.61000000
28,,,4864.84000000,4717.33000000,4679.34000000
29,,,4722.00000000,4716.44000000,4686.99000000
30,,,4651.56000000,4740.96000000,4693.06000000
31,,,4697.66000000,4743.92000000,4697.66000000
32,,,4743.09000000,4735.70000000,4700.00000000
33,,,4760.56000000,4725.11000000,4684.86000000
34,,,4779.00000000,4750.99000000,4674.40000000
35,,,4775.64000000,4755.00000000,4721.58000000
36,,,4809.71000000,4752.00000000,4730.07000000
37,,,,4799.93000000,4742.59000000
38,,,,4868.00000000,4743.09000000
39,,,,4856.59000000,4738.56000000
40,,,,4864.84000000,4731.63000000
41,,,,4854.27000000,4719.70000000
42,,,,4840.80000000,4719.08000000
43,,,,4810.00000000,4719.37000000
44,,,,4722.00000000,4710.30000000
45,,,,4658.16000000,4719.62000000
46,,,,4656.92000000,4721.42000000
47,,,,4640.59000000,4722.30000000
48,,,,4628.70000000,4729.68000000
49,,,,4632.31000000,4700.19000000
50,,,,4615.91000000,4704.51000000
51,,,,4651.56000000,4718.47000000
52,,,,4640.96000000,4722.97000000
53,,,,4662.18000000,4718.86000000
54,,,,4676.92000000,4718.65000000
55,,,,4697.66000000,4715.00000000
56,,,,4721.58000000,4712.85000000
57,,,,4743.09000000,4702.84000000
58,,,,4731.63000000,4760.56000000
59,,,,4722.30000000,4750.97000000
60,,,,4729.68000000,4756.00000000
61,,,,4722.97000000,4755.64000000
62,,,,4760.56000000,4732.36000000
63,,,,4756.00000000,4725.90000000
64,,,,4779.00000000,4735.53000000
65,,,,4774.76000000,4752.27000000
66,,,,4759.81000000,4779.00000000
67,,,,4761.89000000,4774.03000000
68,,,,4775.64000000,4774.76000000
69,,,,4753.30000000,4766.78000000
70,,,,4762.00000000,4762.79000000
71,,,,4752.27000000,4769.24000000
72,,,,4738.80000000,4759.81000000
73,,,,,4758.84000000
74,,,,,4742.84000000
75,,,,,4737.45000000
76,,,,,4755.95000000
77,,,,,4756.64000000
78,,,,,4761.89000000
79,,,,,4758.99000000
80,,,,,4775.64000000
81,,,,,4763.40000000
82,,,,,4745.48000000
83,,,,,4751.40000000
84,,,,,4740.00000000
85,,,,,4753.30000000
86,,,,,4742.01000000
87,,,,,4746.10000000
88,,,,,4743.78000000
89,,,,,4762.00000000
90,,,,,4752.25000000
91,,,,,4753.32000000
92,,,,,4752.27000000
93,,,,,4740.89000000
94,,,,,4733.58000000
95,,,,,4727.87000000
96,,,,,4719.19000000
