,Open Time,Open,High,Low,Close,Volume,Name,Haiking Average
0,2021-10-21 00:00:00,4161.37000000,4375.00000000,4013.13000000,4052.99000000,798566.55805000,D14,4150.6225
1,2021-10-22 00:00:00,4053.00000000,4167.41000000,3888.00000000,3972.20000000,463222.54280000,D13,4020.1525
2,2021-10-23 00:00:00,3972.19000000,4172.00000000,3937.51000000,4167.12000000,326576.96010000,D12,4062.205
3,2021-10-24 00:00:00,4167.13000000,4186.57000000,3961.50000000,4082.33000000,350115.83860000,D11,4099.3825
4,2021-10-25 00:00:00,4082.33000000,4236.00000000,4067.71000000,4220.37000000,347438.65340000,D10,4151.6025
5,2021-10-26 00:00:00,4220.36000000,4297.00000000,4090.21000000,4131.52000000,414498.15990000,D9,4184.7725
6,2021-10-27 00:00:00,4131.52000000,4307.00000000,3909.00000000,3922.00000000,704604.25000000,D8,4067.38
7,2021-10-28 00:00:00,3921.99000000,4295.00000000,3890.17000000,4286.02000000,626378.50550000,D7,4098.295
8,2021-10-29 00:00:00,4286.01000000,4460.47000000,4265.97000000,4418.89000000,559231.07691000,D6,4357.835000000001
9,2021-10-30 00:00:00,4418.89000000,4434.06000000,4232.20000000,4322.68000000,340223.06900000,D5,4351.9575
10,2021-10-31 00:00:00,4322.68000000,4399.14000000,4164.35000000,4287.21000000,412856.28930000,D4,4293.344999999999
11,2021-11-01 00:00:00,4287.48000000,4386.58000000,4146.30000000,4319.43000000,417620.70730000,D3,4284.9475
12,2021-11-02 00:00:00,4319.43000000,4599.60000000,4284.43000000,4589.89000000,468184.79301000,D2,4448.3375
13,2021-11-03 00:00:00,4589.68000000,4665.87000000,4455.00000000,4603.35000000,448658.35125000,D1,4578.475
0,2021-10-28 00:00:00,3921.99000000,4022.44000000,3890.17000000,3995.64000000,,4H37,3957.56
1,2021-10-28 04:00:00,3995.65000000,4040.70000000,3981.23000000,4009.86000000,,4H36,4006.8599999999997
2,2021-10-28 08:00:00,4009.85000000,4174.34000000,4009.00000000,4151.95000000,,4H35,4086.285
3,2021-10-28 12:00:00,4151.95000000,4205.00000000,4136.06000000,4151.21000000,,4H34,4161.055
4,2021-10-28 16:00:00,4151.21000000,4269.54000000,4115.95000000,4259.04000000,,4H33,4198.935
5,2021-10-28 20:00:00,4259.04000000,4295.00000000,4208.39000000,4286.02000000,,4H32,4262.1125
6,2021-10-29 00:00:00,4286.01000000,4405.50000000,4265.97000000,4379.83000000,,4H31,4334.3275
7,2021-10-29 04:00:00,4379.84000000,4388.99000000,4289.08000000,4307.56000000,,4H30,4341.3675
8,2021-10-29 08:00:00,4308.00000000,4366.34000000,4278.70000000,4320.53000000,,4H29,4318.3925
9,2021-10-29 12:00:00,4320.53000000,4449.47000000,4296.64000000,4440.30000000,,4H28,4376.735
10,2021-10-29 16:00:00,4440.77000000,4460.47000000,4344.55000000,4403.97000000,,4H27,4412.4400000000005
11,2021-10-29 20:00:00,4403.96000000,4429.61000000,4388.01000000,4418.89000000,,4H26,4410.1175
12,2021-10-30 00:00:00,4418.89000000,4434.06000000,4331.00000000,4342.72000000,,4H25,4381.6675000000005
13,2021-10-30 04:00:00,4342.73000000,4382.79000000,4328.00000000,4349.72000000,,4H24,4350.81
